Lexema: vai, Símbolo: sidentificador
Lexema: chamar, Símbolo: sidentificador
Lexema: p3, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: que, Símbolo: sidentificador
Lexema: vai, Símbolo: sidentificador
Lexema: chamar, Símbolo: sidentificador
Lexema: p1, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: que, Símbolo: sidentificador
Lexema: vai, Símbolo: sidentificador
Lexema: chamar, Símbolo: sidentificador
Lexema: p2, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: que, Símbolo: sidentificador
Lexema: vai, Símbolo: sidentificador
Lexema: chamar, Símbolo: sidentificador
Lexema: p3, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: que, Símbolo: sidentificador
Lexema: vai, Símbolo: sidentificador
Lexema: chamar, Símbolo: sidentificador
Lexema: p1, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: fim, Símbolo: sfim
